date,close_price
01-APR-2024,22462
02-APR-2024,22453.3
03-APR-2024,22434.65
04-APR-2024,22514.65
05-APR-2024,22513.7
08-APR-2024,22666.3
09-APR-2024,22642.75
10-APR-2024,22753.8
12-APR-2024,22519.4
15-APR-2024,22272.5
16-APR-2024,22147.9
18-APR-2024,21995.85
19-APR-2024,22147
22-APR-2024,22336.4
23-APR-2024,22368
24-APR-2024,22402.4
25-APR-2024,22570.35
26-APR-2024,22419.95
29-APR-2024,22643.4
30-APR-2024,22604.85
02-MAY-2024,22648.2
03-MAY-2024,22475.85
06-MAY-2024,22442.7
07-MAY-2024,22302.5
08-MAY-2024,22302.5
09-MAY-2024,21957.5
10-MAY-2024,22055.2
13-MAY-2024,22104.05
14-MAY-2024,22217.85
15-MAY-2024,22200.55
16-MAY-2024,22403.85
17-MAY-2024,22466.1
18-MAY-2024,22502
21-MAY-2024,22529.05
22-MAY-2024,22597.8
23-MAY-2024,22967.65
24-MAY-2024,22957.1
27-MAY-2024,22932.45
28-MAY-2024,22888.15
29-MAY-2024,22704.7
30-MAY-2024,22488.65
31-MAY-2024,22530.7
03-JUN-2024,23263.9
04-JUN-2024,21884.5
05-JUN-2024,22620.35
06-JUN-2024,22821.4
07-JUN-2024,23290.15
10-JUN-2024,23259.2
11-JUN-2024,23264.85
12-JUN-2024,23322.95
13-JUN-2024,23398.9
14-JUN-2024,23465.6
18-JUN-2024,23557.9
19-JUN-2024,23516
20-JUN-2024,23567
21-JUN-2024,23501.1
24-JUN-2024,23537.85
25-JUN-2024,23721.3
26-JUN-2024,23868.8
27-JUN-2024,24044.5
28-JUN-2024,24010.6
01-JUL-2024,24141.95
02-JUL-2024,24123.85
03-JUL-2024,24286.5
04-JUL-2024,24302.15
05-JUL-2024,24323.85
08-JUL-2024,24320.55
09-JUL-2024,24433.2
10-JUL-2024,24324.45
11-JUL-2024,24315.95
12-JUL-2024,24502.15
15-JUL-2024,24586.7
16-JUL-2024,24613
18-JUL-2024,24800.85
19-JUL-2024,24530.9
22-JUL-2024,24509.25
23-JUL-2024,24479.05
